140,Chattanooga, Tennessee,179139,167674,0.0684,143.1 sq mi,370.6 km2,"1,241/sq mi",479/km2
141,Rancho Cucamonga, California,177452,165269,0.0737,40.0 sq mi,103.6 km2,"4,413/sq mi","1,704/km2"
142,Frisco, Texas,177286,116989,0.5154,67.7 sq mi,175.3 km2,"2,417/sq mi",933/km2
143,Sioux Falls, South Dakota,176888,153888,0.1495,75.4 sq mi,195.3 km2,"2,312/sq mi",893/km2
144,Oceanside, California,176193,167086,0.0545,41.3 sq mi,107.0 km2,"4,249/sq mi","1,641/km2"
145,Ontario, California,175841,163924,0.0727,49.9 sq mi,129.2 km2,"3,471/sq mi","1,340/km2"
146,Vancouver, Washington,175673,161791,0.0858,46.9 sq mi,121.5 km2,"3,728/sq mi","1,439/km2"
147,Santa Rosa, California,175269,167815,0.0444,41.3 sq mi,107.0 km2,"4,241/sq mi","1,637/km2"
148,Garden Grove, California,174226,170883,0.0196,18.0 sq mi,46.6 km2,"9,714/sq mi","3,751/km2"
149,Elk Grove, California,171844,153015,0.1231,42.2 sq mi,109.3 km2,"4,022/sq mi","1,553/km2"
150,Pembroke Pines, Florida,170712,154019,0.1084,33.0 sq mi,85.5 km2,"5,109/sq mi","1,973/km2"
151,Salem, Oregon,169798,154637,0.098,48.6 sq mi,125.9 km2,"3,445/sq mi","1,330/km2"
152,Eugene, Oregon,168916,156185,0.0815,44.1 sq mi,114.2 km2,"3,777/sq mi","1,458/km2"
153,Peoria, Arizona,168181,154065,0.0916,175.7 sq mi,455.1 km2,934/sq mi,361/km2
154,Corona, California,167836,152374,0.1015,39.5 sq mi,102.3 km2,"4,222/sq mi","1,630/km2"
155,Springfield, Missouri,167376,159498,0.0494,82.3 sq mi,213.2 km2,"2,033/sq mi",785/km2
156,Jackson, Mississippi,166965,173514,?3.77%,111.0 sq mi,287.5 km2,"1,524/sq mi",588/km2
157,Cary, North Carolina,165904,135234,0.2268,56.5 sq mi,146.3 km2,"2,873/sq mi","1,109/km2"
158,Fort Collins, Colorado,165080,143986,0.1465,55.8 sq mi,144.5 km2,"2,943/sq mi","1,136/km2"
159,Hayward, California,160500,144186,0.1131,45.5 sq mi,117.8 km2,"3,493/sq mi","1,349/km2"
160,Lancaster, California,160316,156633,0.0235,94.3 sq mi,244.2 km2,"1,698/sq mi",656/km2
161,Alexandria, Virginia,160035,139966,0.1434,15.0 sq mi,38.8 km2,"10,387/sq mi","4,010/km2"
162,Salinas, California,157596,150441,0.0476,23.6 sq mi,61.1 km2,"6,662/sq mi","2,572/km2"
163,Palmdale, California,157519,152750,0.0312,106.0 sq mi,274.5 km2,"1,484/sq mi",573/km2
164,Lakewood, Colorado,154958,142980,0.0838,42.9 sq mi,111.1 km2,"3,599/sq mi","1,390/km2"
165,Springfield, Massachusetts,154758,153060,0.0111,31.9 sq mi,82.6 km2,"4,830/sq mi","1,860/km2"
166,Sunnyvale, California,153656,140081,0.0969,22.0 sq mi,57.0 km2,"6,944/sq mi","2,681/km2"
167,Hollywood, Florida,153627,140768,0.0913,27.3 sq mi,70.7 km2,"5,568/sq mi","2,150/km2"
168,Pasadena, Texas,153520,149043,0.03,43.5 sq mi,112.7 km2,"3,525/sq mi","1,361/km2"
169,Clarksville, Tennessee,153205,132929,0.1525,98.3 sq mi,254.6 km2,"1,529/sq mi",590/km2
170,Pomona, California,152939,149058,0.026,23.0 sq mi,59.6 km2,"6,630/sq mi","2,560/km2"
171,Kansas City, Kansas,152938,145786,0.0491,124.8 sq mi,323.2 km2,"1,216/sq mi",470/km2
172,Macon, Georgia,152663,91351,0.6712,249.3 sq mi,645.7 km2,612/sq mi,236/km2
173,Escondido, California,151969,143911,0.056,37.1 sq mi,96.1 km2,"4,087/sq mi","1,578/km2"
174,Paterson, New Jersey,148678,146199,0.017,8.4 sq mi,21.8 km2,"17,500/sq mi","6,800/km2"
175,Joliet, Illinois,148462,147433,0.007,64.4 sq mi,166.8 km2,"2,302/sq mi",889/km2
176,Naperville, Illinois,147682,141853,0.0411,38.7 sq mi,100.2 km2,"3,802/sq mi","1,468/km2"
177,Rockford, Illinois,147051,152871,?3.81%,63.5 sq mi,164.5 km2,"2,325/sq mi",898/km2
178,Torrance, California,146758,145438,0.0091,20.5 sq mi,53.1 km2,"7,180/sq mi","2,770/km2"
179,Bridgeport, Connecticut,146579,144229,0.0163,16.1 sq mi,41.7 km2,"9,064/sq mi","3,500/km2"
180,Savannah, Georgia,146444,136286,0.0745,103.6 sq mi,268.3 km2,"1,417/sq mi",547/km2
181,Killeen, Texas,145482,127921,0.1373,53.5 sq mi,138.6 km2,"2,680/sq mi","1,030/km2"
182,Bellevue, Washington,144444,122363,0.1805,33.5 sq mi,86.8 km2,"4,221/sq mi","1,630/km2"
183,Mesquite, Texas,143949,139824,0.0295,47.2 sq mi,122.2 km2,"3,045/sq mi","1,176/km2"
184,Syracuse, New York,143396,145170,?1.22%,25.0 sq mi,64.7 km2,"5,735/sq mi","2,214/km2"
185,McAllen, Texas,142696,129877,0.0987,58.4 sq mi,151.3 km2,"2,435/sq mi",940/km2
186,Pasadena, California,142647,137122,0.0403,23.0 sq mi,59.6 km2,"6,176/sq mi","2,385/km2"
187,Orange, California,140560,136416,0.0304,25.4 sq mi,65.8 km2,"5,532/sq mi","2,136/km2"
188,Fullerton, California,140392,135161,0.0387,22.4 sq mi,58.0 km2,"6,282/sq mi","2,425/km2"
189,Dayton, Ohio,140371,141527,?0.82%,55.7 sq mi,144.3 km2,"2,522/sq mi",974/km2
190,Miramar, Florida,140328,122041,0.1498,29.4 sq mi,76.1 km2,"4,709/sq mi","1,818/km2"
191,Olathe, Kansas,137472,125872,0.0922,60.9 sq mi,157.7 km2,"2,225/sq mi",859/km2
192,Thornton, Colorado,136978,118772,0.1533,35.7 sq mi,92.5 km2,"3,829/sq mi","1,478/km2"
193,Waco, Texas,136436,124805,0.0932,89.0 sq mi,230.5 km2,"1,510/sq mi",580/km2
194,Murfreesboro, Tennessee,136372,108755,0.2539,55.9 sq mi,144.8 km2,"2,360/sq mi",910/km2
195,Denton, Texas,136268,113383,0.2018,93.4 sq mi,241.9 km2,"1,433/sq mi",553/km2
196,West Valley City, Utah,136170,129480,0.0517,35.5 sq mi,91.9 km2,"3,847/sq mi","1,485/km2"
197,Midland, Texas,136089,111147,0.2244,74.4 sq mi,192.7 km2,"1,809/sq mi",698/km2
198,Carrollton, Texas,135710,119097,0.1395,36.3 sq mi,94.0 km2,"3,674/sq mi","1,419/km2"
199,Roseville, California,135329,118788,0.1392,43.0 sq mi,111.4 km2,"3,085/sq mi","1,191/km2"
200,Warren, Michigan,135022,134056,0.0072,34.4 sq mi,89.1 km2,"3,928/sq mi","1,517/km2"
201,Charleston, South Carolina,134875,120083,0.1232,109.0 sq mi,282.3 km2,"1,233/sq mi",476/km2
202,Hampton, Virginia,134669,137436,?2.01%,51.5 sq mi,133.4 km2,"2,629/sq mi","1,015/km2"
203,Surprise, Arizona,134085,117517,0.141,107.9 sq mi,279.5 km2,"1,230/sq mi",470/km2
204,Columbia, South Carolina,133114,129272,0.0297,133.5 sq mi,345.8 km2,"1,006/sq mi",388/km2
